id,name,icon,description,active,created_at,updated_at,score,kind
298,Antimatter Dao,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,6,""
299,Antlia,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
302,Anzen,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
304,AOK Chain,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,4,""
2343,Farcaster,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,85,Community
2349,Fathom,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,5,""
6918,Apeiron,"","",true,2025-08-05 04:56:00.869000 +00:00,2025-08-05 04:56:00.869000 +00:00,2,""
2354,Fedimint,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,15,""
2359,Fennel Labs,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2360,Fennel Protocol,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
313,Aphelion,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
316,API3 Ecosystem,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
320,Apollo,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
321,Apollo Currency,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
323,ApolloX,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,5,""
160,Ajna Finance,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
329,Apricot Finance,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
330,Apron Labs,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
161,Ajuna Network,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,5,""
333,APT ID,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
339,Aptosis,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
341,Aptos Rabbit,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
342,APWine,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
343,APY.Finance,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
164,AKASHA Foundation,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,8,""
168,Akropolis,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,1,""
350,Arable Protocol,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,98,""
352,Aragon Court,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
169,Aktionariat,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
354,Arbchain,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
357,Arbi's Finance,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,5,""
170,AladdinDAO,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
359,arbitoor,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
171,Alastria,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,6,""
172,Alaya Network,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,2,""
366,Arbor Protocol,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,7,""
369,Arcade City,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
371,Arcade.xyz,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,5,""
173,Albus Protocol,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,3,""
180,Aldrin,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,4,""
181,Aleo,"","",true,2025-07-23 09:52:39.080000 +00:00,2025-07-23 09:52:39.080000 +00:00,64,Public Chain
2361,Ferrum Network,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,4,""
378,Archer DAO Governance Token,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2363,Fetch.ai,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,31,Public Chain
2366,Fhenix Protocol,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,12,""
380,Archimedes Finance,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,8,""
2367,Fiat Connect,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,2,""
384,Arcology,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,4,""
2369,Fiber,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,6,""
2371,Fibrous Finance,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2374,Figment,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,9,""
393,Ares Protocol,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
395,Argentum,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2375,Figure,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,11,""
2377,Filebase,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
2378,Filecoin,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,465,Infrastructure
2380,Fileverse,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,12,""
2381,Filmine,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2382,FilSwan,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,5,""
2383,finalbiome,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
2386,Findonflow,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
412,Arkreen,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2387,Findora,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,4,""
2391,FINSCHIA,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
417,Armors,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,2,""
2395,FIO Protocol,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,8,""
2398,Fireblocks,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,36,Infrastructure
2399,Firefly,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,22,""
421,Arrow Protocol,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2401,Fireside,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
425,artgobblers,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,6,""
2402,FirmaChain,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2403,Firo,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,11,""
2406,FISCO-BCOS,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,11,Public Chain
434,Aryacoin,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
435,Asa Gold,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
2408,Fishcake,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,4,""
437,AscendEx Token,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
438,Asch,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2412,Fixes World,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
440,AshSwap,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,8,""
442,Askobar Network,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
443,aSOL,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
444,Aspire,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
2418,Flare,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,24,Public Chain
2420,Flashbots,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,47,Infrastructure
449,AssetDesk,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,3,""
2425,FleekHQ,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,4,""
451,AstariaXYZ,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,8,""
2427,FleetSDK,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2463,Fluent Labs,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,11,""
2466,Fluidity Money,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,3,""
2467,Fluidkey,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,6,""
2473,Flux (Run On Flux),"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,11,Public Chain
2477,FOAM,"","",true,2025-07-23 09:52:39.087000 +00:00,2025-07-23 09:52:39.087000 +00:00,1,""
467,Async Art,"","",true,2025-07-23 09:52:39.081000 +00:00,2025-07-23 09:52:39.081000 +00:00,1,""
